club_id,club_slug,club_name,logo_url,country_name,season_id,competition_id,competition_slug,competition_name,club_division,source_url,_last_modified_at
189,club-atletico-boca-juniors,CA Boca Juniors (189),https://tmssl.akamaized.net//images/wappen/head/189.png?lm=1511621129,Argentina,2003,ARGC,torneo-final,Torneo Clausura,Torneo Clausura,https://www.transfermarkt.com/club-atletico-boca-juniors/startseite/verein/189/saison_id/2003,2025-09-13 11:52:17
187,1-fc-magdeburg,1.FC Magdeburg (187),https://tmssl.akamaized.net//images/wappen/head/187.png?lm=1559905461,Germany,2010,L2,2-bundesliga,2. Bundesliga,2. Bundesliga,https://www.transfermarkt.com/1-fc-magdeburg/startseite/verein/187/saison_id/2010,2025-09-13 09:22:49
1894,hvidovre-if,Hvidovre IF (1894),https://tmssl.akamaized.net//images/wappen/head/1894.png?lm=1458926365,Denmark,2025,DK2,nordicbet-liga,1.Division,1.Division,https://www.transfermarkt.com/hvidovre-if/startseite/verein/1894/saison_id/2025,2025-09-11 22:09:21
190,fc-kopenhagen,FC Copenhagen (190),https://tmssl.akamaized.net//images/wappen/head/190.png?lm=1722282896,Denmark,2023,DK1,superligaen,Superliga,Superliga,https://www.transfermarkt.com/fc-kopenhagen/startseite/verein/190/saison_id/2023,2025-09-13 11:16:25
192,roda-jc-kerkrade,Roda JC Kerkrade (192),https://tmssl.akamaized.net//images/wappen/head/192.png?lm=1404055999,Netherlands,2020,NL2,keuken-kampioen-divisie,Keuken Kampioen Divisie,Keuken Kampioen Divisie,https://www.transfermarkt.com/roda-jc-kerkrade/startseite/verein/192/saison_id/2020,2025-09-13 11:39:05
195,rosenborg-bk,Rosenborg BK (195),https://tmssl.akamaized.net//images/wappen/head/195.png?lm=1714073077,Norway,2004,NO1,eliteserien,Eliteserien,Eliteserien,https://www.transfermarkt.com/rosenborg-bk/startseite/verein/195/saison_id/2004,2025-09-13 13:24:04
1897,fc-hradec-kralove,FC Hradec Kralove (1897),https://tmssl.akamaized.net//images/wappen/head/1897.png?lm=1751383085,Czech Republic,2006,TS1,fortuna-liga,Chance Liga,Chance Liga,https://www.transfermarkt.com/fc-hradec-kralove/startseite/verein/1897/saison_id/2006,2025-09-13 12:33:49
19114,us-sassuolo-u19,Sassuolo Primavera (19114),https://tmssl.akamaized.net//images/wappen/head/19114.png?lm=1601389908,Italy,2014,IJ1,primavera-1,Primavera 1,Primavera 1,https://www.transfermarkt.com/us-sassuolo-u19/startseite/verein/19114/saison_id/2014,2025-09-13 09:17:44
19301,cd-teruel,CD Teruel (19301),https://tmssl.akamaized.net//images/wappen/head/19301.png?lm=1688843635,Spain,2023,E3G2,primera-division-r-f-e-f-grupo-ii,Primera Federación - Grupo II,Primera Federación - Grupo II,https://www.transfermarkt.com/cd-teruel/startseite/verein/19301/saison_id/2023,2025-09-13 09:05:18
19657,vendsyssel-ff,Vendsyssel FF (19657),https://tmssl.akamaized.net//images/wappen/head/19657.png?lm=1437861900,Denmark,2024,DK3O,2-division-hauptrunde,2.Division,2.Division,https://www.transfermarkt.com/vendsyssel-ff/startseite/verein/19657/saison_id/2024,2025-09-13 13:32:13
1978,fc-wohlen,FC Wohlen (1978),https://tmssl.akamaized.net//images/wappen/head/1978.png?lm=1468412509,Switzerland,2002,CHC2,1-liga-gruppe-2,1. Liga Classic group 2,1. Liga Classic group 2,https://www.transfermarkt.com/fc-wohlen/startseite/verein/1978/saison_id/2002,2025-09-13 11:01:07
199,corinthians-sao-paulo,Sport Club Corinthians Paulista (199),https://tmssl.akamaized.net//images/wappen/head/199.png?lm=1649430398,Brazil,2016,BRA1,campeonato-brasileiro-serie-a,Campeonato Brasileiro Série A,Campeonato Brasileiro Série A,https://www.transfermarkt.com/corinthians-sao-paulo/startseite/verein/199/saison_id/2016,2025-09-13 11:55:43
2,1-fc-kaiserslautern,1.FC Kaiserslautern (2),https://tmssl.akamaized.net//images/wappen/head/2.png?lm=1580920736,Germany,2008,L2,2-bundesliga,2. Bundesliga,2. Bundesliga,https://www.transfermarkt.com/1-fc-kaiserslautern/startseite/verein/2/saison_id/2008,2025-09-13 09:22:51
197,ac-sparta-prag,AC Sparta Prague (197),https://tmssl.akamaized.net//images/wappen/head/197.png?lm=1705397331,Czech Republic,2010,TS1,fortuna-liga,Chance Liga,Chance Liga,https://www.transfermarkt.com/ac-sparta-prag/startseite/verein/197/saison_id/2010,2025-09-13 12:33:38
200,fc-utrecht,FC Utrecht (200),https://tmssl.akamaized.net//images/wappen/head/200.png?lm=1628450351,Netherlands,2022,NL1,eredivisie,Eredivisie,Eredivisie,https://www.transfermarkt.com/fc-utrecht/startseite/verein/200/saison_id/2022,2025-09-13 11:45:00
